City,Latitude,Longitude,Temperature (F),Humidity %,Cloudiness %,Wind Speed (mph)
Portland,45.52,-122.68,48.15,70,75,4.7
Phan Thiet,10.93,108.1,78.82,77,74,6.51
Plettenberg Bay,-34.05,23.37,60.78,77,6,4.32
Burrel,41.61,20.01,42.8,87,90,9.17
Denpasar,-8.65,115.22,84.2,89,20,3.36
Khorinsk,52.17,109.77,34.59,60,23,10.67
Erdaojiang,41.78,126.03,40.53,48,8,6.02
Loralai,30.37,68.6,54.82,39,0,2.13
Chantada,42.61,-7.77,42.28,87,55,3.06
Lucapa,-8.42,20.74,67.84,72,60,0.92
Flin Flon,54.77,-101.86,21.72,95,100,10.4
Distrikt Brokopondo,4.75,-55.17,74.98,89,91,5.91
Northfield,44.46,-93.16,47.59,52,1,3.36
San Borja,-14.82,-66.85,77.76,84,83,0.47
Windhoek,-22.56,17.08,58.48,72,2,4.7
Campbell River,50.02,-125.24,44.6,93,40,2.24
Halifax,44.65,-63.57,31.39,93,90,12.75
Betūl,21.92,77.9,75.25,25,4,4.47
Hauterive,46.09,3.45,28.96,74,0,3.36
Trairi,-3.28,-39.27,80.4,83,94,8.7
Mizdah,31.45,12.98,54.66,57,0,10.31
Laas,46.62,10.7,22.44,73,5,1.74
Porto-Novo,6.5,2.6,82.4,88,40,8.05
Tessalit,20.2,1.01,73.58,14,0,6.98
Vyshkov,52.48,31.69,28.4,74,39,8.95
Innisfail,-17.53,146.03,79.0,62,68,3.0
Thinadhoo,0.53,72.93,83.1,70,91,7.96
Avera,33.19,-82.53,56.43,82,40,4.7
Shetpe,44.17,52.12,46.6,76,97,11.3
Tilichiki,60.47,166.1,20.21,91,19,7.83
Liverpool,53.41,-2.98,42.96,93,30,8.05
Banda Aceh,5.56,95.32,80.65,79,85,4.59
Terra Santa,-2.1,-56.49,75.36,95,100,2.21
Ozernovskiy,51.5,156.52,36.73,79,100,17.27
Vryheid,-27.77,30.79,61.14,58,100,4.38
Choma,-16.81,26.95,62.15,59,0,1.41
Fukuechō,32.69,128.84,51.8,93,75,19.46
